datetime,open,high,low,close,volume
2020-05-21 20:30:00,185.4,186.67,183.29,183.43,29119513.0
2020-05-22 20:30:00,183.19,184.46,182.54,183.51,20826898.0
2020-05-26 20:30:00,186.34,186.5,181.1,181.57,36073609.0
2020-05-27 20:30:00,180.2,181.9877,176.6,181.81,39517146.0
2020-05-28 20:30:00,180.74,184.1474,180.38,181.4,33831824.0
2020-05-29 20:30:00,182.73,184.27,180.41,183.25,42146720.0
2020-06-01 20:30:00,182.54,183.0,181.46,182.83,22668821.0
2020-06-02 20:30:00,184.25,185.0,181.35,184.91,30794585.0
2020-06-03 20:30:00,184.815,185.94,183.58,185.36,27311016.0
2020-06-04 20:30:00,184.3,185.84,182.3,182.92,28761809.0
2020-06-05 20:30:00,182.62,187.73,182.01,187.2,39893643.0
2020-06-08 20:30:00,185.94,188.55,184.44,188.36,33211590.0
2020-06-09 20:30:00,188.0,190.7,187.2605,189.8,29783916.0
2020-06-10 20:30:00,191.125,198.52,191.01,196.84,43872329.0
2020-06-11 20:30:00,193.13,195.76,186.07,186.27,52854672.0
2020-06-12 20:30:00,190.54,191.72,185.18,187.74,43373587.0
2020-06-15 20:30:00,184.58,190.82,184.01,188.94,32770189.0
2020-06-16 20:30:00,192.89,195.58,191.46,193.57,42556656.0
2020-06-17 20:30:00,195.03,196.32,193.69,194.24,25687822.0
2020-06-18 20:30:00,194.0,196.49,194.0,196.32,23061648.0
2020-06-19 20:30:00,198.59,199.29,194.37,195.15,44441141.0
2020-06-22 20:30:00,195.79,200.76,195.2301,200.57,32818929.0
2020-06-23 20:30:00,202.09,203.95,201.425,201.91,30917447.0
2020-06-24 20:30:00,201.6043,203.25,196.56,197.84,36740647.0
2020-06-25 20:30:00,197.8,200.61,195.4675,200.34,27803933.0
2020-06-26 20:30:00,199.73,199.89,194.88,196.33,54675780.0
2020-06-29 20:30:00,195.78,198.53,193.55,198.44,26701586.0
2020-06-30 20:30:00,197.8816,204.4,197.74,203.51,34310283.0
2020-07-01 20:30:00,203.14,206.35,201.77,204.7,32061206.0
2020-07-02 20:30:00,205.68,208.02,205.0,206.26,29315762.0
2020-07-06 20:30:00,208.8335,211.13,208.09,210.7,31897629.0
2020-07-07 20:30:00,210.45,214.67,207.99,208.25,33600732.0
2020-07-08 20:30:00,210.07,213.26,208.69,212.83,33600025.0
2020-07-09 20:30:00,216.33,216.38,211.47,214.32,33121681.0
2020-07-10 20:30:00,213.62,214.08,211.08,213.67,26177633.0
2020-07-13 20:30:00,214.48,215.8,206.5,207.07,38135606.0
2020-07-14 20:30:00,206.13,208.85,202.03,208.35,37591820.0
2020-07-15 20:30:00,209.56,211.33,205.03,208.04,32179409.0
2020-07-16 20:30:00,205.4,205.7,202.31,203.92,29940653.0
2020-07-17 20:30:00,204.47,205.04,201.39,202.88,31635281.0
2020-07-20 20:30:00,205.0,212.3,203.01,211.6,36884836.0
2020-07-21 20:30:00,213.66,213.94,208.03,208.75,38105777.0
2020-07-22 20:30:00,209.2,212.3,208.39,211.75,49605692.0
2020-07-23 20:30:00,207.19,210.92,202.15,202.54,67457035.0
2020-07-24 20:30:00,200.42,202.86,197.51,201.3,39826989.0
2020-07-27 20:30:00,201.47,203.97,200.86,203.85,30160867.0
2020-07-28 20:30:00,203.61,204.7,201.74,202.02,23251388.0
2020-07-29 20:30:00,202.5,204.65,202.01,204.06,19632602.0
2020-07-30 20:30:00,201.0,204.46,199.57,203.9,25079596.0
2020-07-31 20:30:00,204.4,205.1,199.01,205.01,51247969.0
2020-08-03 20:30:00,211.52,217.64,210.44,216.54,78983009.0
2020-08-04 20:30:00,214.17,214.77,210.31,213.29,49280056.0
2020-08-05 20:30:00,214.9,215.0,211.57,212.94,28858621.0
2020-08-06 20:30:00,212.34,216.3705,211.55,216.35,32656843.0
2020-08-07 20:30:00,214.85,215.7,210.93,212.48,27820421.0
2020-08-10 20:30:00,211.67,211.88,206.35,208.25,36716462.0
2020-08-11 20:30:00,207.155,207.65,203.14,203.38,36446459.0
2020-08-12 20:30:00,205.29,210.28,204.75,209.19,28041364.0
2020-08-13 20:30:00,209.44,211.35,208.15,208.7,22588870.0
2020-08-14 20:30:00,208.76,209.59,207.51,208.9,17958936.0
2020-08-17 20:30:00,209.6,211.1874,208.915,210.28,20184757.0
2020-08-18 20:30:00,210.53,212.36,209.21,211.49,21336167.0
2020-08-19 20:30:00,211.49,212.1,209.25,209.7,27627561.0
2020-08-20 20:30:00,209.54,215.0,208.91,214.58,26981478.0
2020-08-21 20:30:00,213.86,216.25,212.85,213.02,36249319.0
2020-08-24 20:30:00,214.79,215.52,212.43,213.69,25460147.0
2020-08-25 20:30:00,213.1,216.61,213.1,216.47,23043696.0
2020-08-26 20:30:00,217.88,222.09,217.36,221.15,39600828.0
2020-08-27 20:30:00,222.89,231.15,219.4,226.58,57602195.0
2020-08-28 20:30:00,228.18,230.644,226.58,228.91,26292896.0
2020-08-31 20:30:00,227.0,228.7,224.31,225.53,28774156.0
2020-09-01 20:30:00,225.51,227.45,224.43,227.27,25791235.0
2020-09-02 20:30:00,227.97,232.86,227.35,231.65,34080839.0
2020-09-03 20:30:00,229.27,229.31,214.9602,217.3,58400288.0
2020-09-04 20:30:00,215.1,218.3599,205.19,214.25,59664072.0
2020-09-08 20:30:00,206.5,210.03,202.2,202.66,52924330.0
2020-09-09 20:30:00,207.6,214.8399,206.7,211.29,45678986.0
2020-09-10 20:30:00,213.4,214.74,204.11,205.37,35461514.0
2020-09-11 20:30:00,207.2,208.63,201.24,204.03,33620073.0
2020-09-14 20:30:00,204.24,209.2,204.03,205.41,30375768.0
2020-09-15 20:30:00,208.42,209.78,206.93,208.78,21823942.0
2020-09-16 20:30:00,210.62,210.65,204.64,205.05,26372464.0
2020-09-17 20:30:00,200.05,204.33,199.96,202.91,34011257.0
2020-09-18 20:30:00,202.8,203.65,196.25,200.39,55225326.0
2020-09-21 20:30:00,197.19,202.71,196.38,202.54,39839657.0
2020-09-22 20:30:00,205.06,208.1,202.075,207.42,33517065.0
2020-09-23 20:30:00,207.9,208.1,200.03,200.59,30803780.0
2020-09-24 20:30:00,199.85,205.57,199.2,203.19,31202493.0
2020-09-25 20:30:00,203.55,209.04,202.54,207.82,29437312.0
2020-09-28 20:30:00,210.88,212.57,208.06,209.44,32004936.0
2020-09-29 20:30:00,209.35,210.07,206.81,207.26,24464472.0
2020-09-30 20:30:00,207.73,211.98,206.54,210.33,33829088.0
2020-10-01 20:30:00,213.49,213.99,211.32,212.46,27158418.0
2020-10-02 20:30:00,208.0,210.99,205.54,206.19,33154781.0
2020-10-05 20:30:00,207.22,210.41,206.98,210.38,21331561.0
2020-10-06 20:30:00,208.82,210.18,204.82,205.91,28554261.0
2020-10-07 20:30:00,207.06,210.11,206.72,209.83,25681054.0
2020-10-08 20:30:00,210.51,211.19,208.32,210.58,19925837.0
2020-10-09 20:30:00,211.23,215.86,211.23,215.81,26458047.0
2020-10-12 20:30:00,218.79,223.86,216.81,221.4,40461368.0
2020-10-13 20:30:00,222.72,225.21,220.43,222.86,28950843.0
2020-10-14 20:30:00,223.0,224.22,219.13,220.86,23451713.0
2020-10-15 20:30:00,217.1,220.36,216.01,219.66,22733064.0
2020-10-16 20:30:00,220.15,222.29,219.32,219.66,26057882.0
2020-10-19 20:30:00,220.415,222.3,213.72,214.22,27625841.0
2020-10-20 20:30:00,215.8,217.37,213.0901,214.65,22753511.0
2020-10-21 20:30:00,213.12,216.92,213.12,214.8,22724906.0
2020-10-22 20:30:00,213.93,216.055,211.7,214.89,22351450.0
2020-10-23 20:30:00,215.03,216.28,213.16,216.23,18879608.0
2020-10-26 20:30:00,213.85,216.3399,208.1,210.08,37111561.0
2020-10-27 20:30:00,211.59,214.67,210.329,213.25,36700325.0
2020-10-28 20:30:00,207.67,208.84,202.1,202.68,51195593.0
2020-10-29 20:30:00,204.07,207.36,203.37,204.72,31432563.0
2020-10-30 20:30:00,203.5,204.29,199.62,202.47,36980111.0
2020-11-02 21:30:00,204.29,205.28,200.12,202.33,30842163.0
2020-11-03 21:30:00,203.89,208.12,203.12,206.43,27512030.0
2020-11-04 21:30:00,214.02,218.32,212.4185,216.39,42311777.0
2020-11-05 21:30:00,222.04,224.12,221.15,223.29,36080137.0
2020-11-06 21:30:00,222.26,224.36,218.03,223.72,25231895.0
2020-11-09 21:30:00,224.435,228.12,217.88,218.39,44394950.0
2020-11-10 21:30:00,214.5,216.5,209.72,211.01,44045120.0
2020-11-11 21:30:00,212.39,218.04,212.2,216.55,29440788.0
2020-11-12 21:30:00,217.21,219.11,214.46,215.44,21616115.0
2020-11-13 21:30:00,216.36,217.42,214.16,216.51,18630307.0
2020-11-16 21:30:00,214.87,217.74,214.52,217.23,24953344.0
2020-11-17 21:30:00,216.1,217.68,214.08,214.46,24154112.0
2020-11-18 21:30:00,213.65,215.17,210.93,211.08,28372789.0
2020-11-19 21:30:00,211.38,213.03,209.93,212.42,24792746.0
2020-11-20 21:30:00,212.2,213.285,210.0,210.39,22843119.0
2020-11-23 21:30:00,210.95,212.29,208.16,210.11,25683507.0
2020-11-24 21:30:00,209.59,214.25,208.86,213.86,33979731.0
2020-11-25 21:30:00,215.11,215.29,212.46,213.87,21012887.0
2020-11-27 21:30:00,214.85,216.27,214.04,215.23,14512213.0
2020-11-30 21:30:00,214.1,214.76,210.835,214.07,33064753.0
2020-12-01 21:30:00,214.51,217.32,213.35,216.21,30931318.0
2020-12-02 21:30:00,214.88,215.47,212.8,215.37,23724509.0
2020-12-03 21:30:00,214.61,216.3757,213.65,214.24,25120922.0
2020-12-04 21:30:00,214.22,215.38,213.18,214.36,24666039.0
2020-12-07 21:30:00,214.37,215.54,212.99,214.29,24619997.0
2020-12-08 21:30:00,213.97,216.95,212.89,216.01,23284094.0
2020-12-09 21:30:00,215.16,215.225,211.214,211.8,32440603.0
2020-12-10 21:30:00,211.77,213.08,210.36,210.52,26467017.0
2020-12-11 21:30:00,210.05,213.32,209.11,213.26,30979440.0
2020-12-14 21:30:00,213.1,216.21,212.88,214.2,28798379.0
2020-12-15 21:30:00,215.165,215.42,212.24,214.13,27018106.0
2020-12-16 21:30:00,214.75,220.11,214.72,219.28,35023253.0
2020-12-17 21:30:00,219.87,220.89,217.92,219.42,32515784.0
2020-12-18 21:30:00,218.59,219.69,216.02,218.59,63354922.0
2020-12-21 21:30:00,217.55,224.0,217.2801,222.59,37181886.0
2020-12-22 21:30:00,222.69,225.63,221.85,223.94,22643397.0
